param,importance
min_child_weight,0.5247619116423391
n_estimators,0.18733940024321655
colsample_bytree,0.12636224549458805
learning_rate,0.08350466477119352
max_delta_step,0.023534428992634106
colsample_bylevel,0.018699911769078183
subsample,0.013954960475425144
gamma,0.005868172953522405
reg_lambda,0.0057000779702854045
max_depth,0.0052343731957255535
reg_alpha,0.0050398524919921285
