variant,n_features,leaky_features_included,oof_roc_auc,oof_pr_auc,oof_brier,best_cv_score
full,23,True,0.9641271009692062,0.9143256392777882,0.06596530780482786,0.9167221850742984
no_leak,20,False,0.9653048705680285,0.9090463406307312,0.06617811356459352,0.9124538373182455
