MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
Smt. Jaya Amitabh Bachchan (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,42107001.0,21904185.0,28.64,10,23,43.48,20202816.0,21,21,0,
Shri Sudheer Gupta ,MANDSOUR,Madhya Pradesh,Lok Sabha,148988014.83,42019092.0,21420844.0,28.2,60,224,26.79,20598248.0,175,168,7,
Khagen Murmu,MALDAHA UTTAR,West Bengal,Lok Sabha,147000000.0,41221118.0,6003169.0,28.04,7,38,18.42,35217949.0,7,7,0,
Shri S Niranjan Reddy (2022-28),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,224621383.11,62802410.0,29522116.0,27.96,3,19,15.79,33280294.0,30,27,3,
Dr. Meenakshi Jain (2025-31),Nominated Rajya Sabha,Delhi,Rajya Sabha,73500000.0,20186125.0,0.0,27.46,0,10,0.0,20186125.0,0,0,0,
BHAJAN LAL JATAV,KARAULI-DHOLPUR,Rajasthan,Lok Sabha,147000000.0,40283911.0,7253086.0,27.4,11,54,20.37,33030825.0,139,139,0,
SHIVMANGAL SINGH TOMAR,MORENA,Madhya Pradesh,Lok Sabha,147000000.0,38772294.0,20290158.0,26.38,28,66,42.42,18482136.0,90,90,0,
Shri Golla Baburao (2024-30),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,147000000.0,38518433.0,20341881.0,26.2,2,44,4.55,18176552.0,22,19,3,
Balashowry Vallabbhaneni,MACHILIPATNAM,Andhra Pradesh,Lok Sabha,147000000.0,37625559.0,14363941.0,25.6,9,59,15.25,23261618.0,26,24,2,
Shyamkumar,RAMTEK,Maharashtra,Lok Sabha,147000000.0,37600000.0,5141086.0,25.58,1,34,2.94,32458914.0,6,5,1,
TRIVENDRA SINGH RAWAT,HARDWAR,Uttarakhand,Lok Sabha,147000000.0,37111003.0,9309458.0,25.25,3,44,6.82,27801545.0,16,16,0,
Pratap Chandra Sarangi,BALASORE,Odisha,Lok Sabha,147064254.11,36406000.0,2525000.0,24.76,10,127,7.87,33881000.0,10,10,0,
Shri Lahar Singh Siroya (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,206278088.11,50804659.0,9964305.0,24.63,2,20,10.0,40840354.0,8,8,0,
Shri Milind Murli Deora (2024-30),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,147000000.0,36030000.0,999996.0,24.51,0,26,0.0,35030004.0,2,2,0,
SELVAGANAPATHI T M,SALEM,Tamil Nadu,Lok Sabha,147000000.0,35380025.5,4244214.0,24.07,0,17,0.0,31135811.5,2,2,0,
Shri Kamal Haasan (2025-31),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,89248285.42,21200000.0,0.0,23.75,0,4,0.0,21200000.0,0,0,0,
Shri Ilaiyaraaja (2022-28),Nominated Rajya Sabha,Tamil Nadu,Rajya Sabha,220563957.11,51956357.0,44381022.0,23.56,17,27,62.96,7575335.0,28,28,0,
Shri Pramod Boro (2026-32),Sitting Rajya Sabha,Assam,Rajya Sabha,49000000.0,11500000.0,0.0,23.47,0,10,0.0,11500000.0,0,0,0,
Shri PP Chaudhary,PALI,Rajasthan,Lok Sabha,147000000.0,34153173.0,12964180.0,23.23,8,44,18.18,21188993.0,143,142,1,
Dr Jayanta Kumar Roy,JALPAIGURI,West Bengal,Lok Sabha,147000000.0,32603018.0,12082736.0,22.18,2,19,10.53,20520282.0,5,5,0,
Anurag Singh Thakur,HAMIRPUR,Himachal Pradesh,Lok Sabha,149570117.11,32981082.0,18791823.0,22.05,46,205,22.44,14189259.0,235,230,5,
Shri Sat Paul Sharma (2025-31),Sitting Rajya Sabha,Jammu And Kashmir,Rajya Sabha,73500000.0,16083365.0,0.0,21.88,0,16,0.0,16083365.0,0,0,0,
Gajendra Singh Shekhawat,JODHPUR,Rajasthan,Lok Sabha,147000000.0,31164000.0,491827.0,21.2,0,33,0.0,30672173.0,1,1,0,
MANOHAR LAL,KARNAL,Haryana,Lok Sabha,147000000.0,30518470.0,16619897.0,20.76,1,19,5.26,13898573.0,13,13,0,
Smt. Maya Chintaman Ivnate (2026-32),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,49000000.0,10000000.0,0.0,20.41,0,20,0.0,10000000.0,0,0,0,
TANGELLA UDAY SRINIVAS,KAKINADA,Andhra Pradesh,Lok Sabha,199417886.76,40209964.0,18078040.0,20.16,6,22,27.27,22131924.0,11,10,1,
Ajay Tamta,ALMORA,Uttarakhand,Lok Sabha,147000000.0,29134406.0,4183680.0,19.82,3,148,2.03,24950726.0,100,83,17,
Shri Rajeev Shukla (2022-28),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,271174394.23,52480000.0,40599928.0,19.35,4,30,13.33,11880072.0,35,33,2,
Shri Raghav Chadha (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,237229207.25,44586378.0,35563356.0,18.79,4,6,66.67,9023022.0,35,34,1,
Shri B. Parthasaradhi Reddy (2022-28),Sitting Rajya Sabha,Telangana,Rajya Sabha,244365104.0,45631636.0,5945528.0,18.67,6,25,24.0,39686108.0,7,7,0,
P C Mohan,BANGALORE CENTRAL,Karnataka,Lok Sabha,159995711.11,25927005.0,10439505.0,16.2,2,19,10.53,15487500.0,21,21,0,
Magunta Sreenivasulu Reddy,ONGOLE,Andhra Pradesh,Lok Sabha,147000000.0,22585400.0,12375873.0,15.36,1,19,5.26,10209527.0,11,9,2,
Dhairyasheel Sambhajirao Mane,HATKANANGLE,Maharashtra,Lok Sabha,147000000.0,21901717.0,7519206.0,14.9,4,17,23.53,14382511.0,5,5,0,
